video,prompt_id,prompt_name,difficulty_label,initial_clip_score
scene_001_left-forward,1,Cinematic Realism,Easy,0.2693667411804199
scene_001_left-forward,2,Japanese Anime,Medium,0.24381904304027557
scene_001_left-forward,3,Cyberpunk Night,Hard,0.22093772888183594
scene_001_left-forward,4,Minecraft Voxel,Extreme,0.2478495091199875
scene_005_left-forward,1,Cinematic Realism,Easy,0.2592548429965973
scene_005_left-forward,2,Japanese Anime,Medium,0.22128942608833313
scene_005_left-forward,3,Cyberpunk Night,Hard,0.1944723129272461
scene_005_left-forward,4,Minecraft Voxel,Extreme,0.2444465160369873
scene_025_left-forward,1,Cinematic Realism,Easy,0.29476428031921387
scene_025_left-forward,2,Japanese Anime,Medium,0.2930432856082916
scene_025_left-forward,3,Cyberpunk Night,Hard,0.236827090382576
scene_025_left-forward,4,Minecraft Voxel,Extreme,0.28806596994400024
